##gff-version 3
##sequence-region chr6 1 23861560
intergenic_region	5354961	5381521	+
TF_binding_site	5357526	5357535	-
TF_binding_site	5361643	5361652	-
TF_binding_site	5361644	5361653	+
TF_binding_site	5365761	5365770	-
TF_binding_site	5370619	5370628	-
TF_binding_site	5379402	5379411	-
gene	5380953	5385399	+
five_prime_UTR	5380953	5381521	+
three_prime_UTR	5384938	5385399	+
##sequence-region chr1 1 30584173
intergenic_region	9820747	9837434	+
TF_binding_site	9822927	9822936	-
TF_binding_site	9826500	9826509	-
TF_binding_site	9827574	9827583	-
TF_binding_site	9837272	9837281	+
gene	9836006	9840062	+
five_prime_UTR	9836006	9837434	+
three_prime_UTR	9839381	9840062	+
##sequence-region chr8 1 21314552
intergenic_region	13317036	13343427	-
TF_binding_site	13340481	13340490	+
TF_binding_site	13335979	13335988	+
TF_binding_site	13331118	13331127	-
gene	13311355	13318824	-
five_prime_UTR	13317036	13318824	-
three_prime_UTR	13311355	13312217	-
